,Age,Gender,Churn,Contract,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Month
4430,18,Female,Yes,Month-to-Month,Yes,2,187.6,66.0
4431,26,Female,No,Month-to-Month,No,8,107.5,115.0
4432,21,Female,No,Month-to-Month,Yes,2,130.0,57.0
4433,85,Male,No,Month-to-Month,No,12,169.9,101.0
4434,32,Female,Yes,Month-to-Month,Yes,4,184.9,102.0
4435,63,Female,Yes,Month-to-Month,Yes,2,172.4,40.0
4436,40,Female,Yes,Month-to-Month,No,8,165.0,136.0
4437,31,Female,Yes,Month-to-Month,Yes,4,195.0,69.0
4438,66,Female,Yes,Month-to-Month,No,10,172.5,135.0
4439,72,Male,No,Month-to-Month,Yes,5,182.5,57.0
4440,42,Male,No,Month-to-Month,Yes,14,192.4,135.0
4441,64,Male,Yes,One year,No,1,230.1,77.0
4442,27,Female,No,Two Year,No,21,115.0,167.0
4443,74,Male,No,Two Year,No,12,137.5,109.0
4444,45,Female,No,Two Year,No,9,167.5,87.0
4445,57,Female,No,One year,Yes,1,160.0,29.0
4446,38,Male,No,One year,Yes,3,162.5,95.0
4447,46,Male,Yes,Two Year,Yes,1,222.6,72.0
4448,42,Female,Yes,Month-to-Month,No,7,222.6,146.0
4449,62,Male,Yes,One year,Yes,3,162.5,52.0
4450,47,Male,No,Month-to-Month,No,6,152.5,108.0
4451,38,Female,No,Two Year,Yes,5,147.5,96.0
4452,45,Male,No,Two Year,Yes,8,115.0,115.0
4453,77,Female,No,Month-to-Month,Yes,19,115.0,189.0
4454,48,Male,Yes,Month-to-Month,Yes,6,175.0,85.0
4455,75,Female,No,Two Year,Yes,9,197.5,91.0
4456,18,Female,No,Month-to-Month,Yes,9,117.4,122.0
4457,36,Female,No,One year,Yes,24,125.0,169.0
4458,40,Male,Yes,Month-to-Month,Yes,4,225.1,135.0
4459,55,Male,No,One year,Yes,17,147.5,170.0
4460,18,Female,No,Two Year,No,3,125.0,74.0
4461,61,Female,Yes,Month-to-Month,Yes,2,232.7,72.0
4462,62,Female,Yes,Month-to-Month,Yes,2,215.2,113.0
4463,82,Male,Yes,Month-to-Month,Yes,6,225.1,137.0
4464,39,Female,No,One year,Yes,10,155.0,141.0
4465,31,Female,No,Month-to-Month,No,16,150.0,146.0
4466,54,Female,No,One year,Yes,10,215.0,112.0
4467,21,Male,Yes,Month-to-Month,No,2,222.6,115.0
4468,49,Female,No,Month-to-Month,No,10,137.4,86.0
4469,42,Male,Yes,Two Year,No,4,150.0,77.0
4470,33,Female,Yes,Month-to-Month,Yes,8,152.5,126.0
4471,62,Female,No,Month-to-Month,No,8,150.0,76.0
4473,36,Female,No,Month-to-Month,No,7,142.5,85.0
4474,38,Male,Yes,Month-to-Month,Yes,3,197.5,113.0
4475,82,Male,Yes,Month-to-Month,Yes,9,159.9,112.0
4476,22,Female,No,Month-to-Month,No,6,125.0,60.0
4477,46,Female,No,Two Year,Yes,3,140.0,46.0
4478,37,Female,Yes,Month-to-Month,No,3,182.5,55.0
4479,22,Female,Yes,Month-to-Month,No,2,275.1,80.0
4480,51,Female,No,Month-to-Month,No,11,150.0,100.0
4481,73,Male,Yes,Month-to-Month,Yes,5,152.5,66.0
4482,84,Female,No,Month-to-Month,No,11,92.5,101.0
4483,88,Female,No,Two Year,No,7,152.5,72.0
4484,64,Male,Yes,Two Year,Yes,1,197.5,62.0
4485,72,Male,Yes,Two Year,No,11,240.1,117.0
4486,28,Female,No,Month-to-Month,No,13,202.4,120.0
4487,25,Male,Yes,Month-to-Month,Yes,1,182.5,58.0
4488,58,Female,Yes,Month-to-Month,No,12,195.0,107.0
4489,74,Male,Yes,Month-to-Month,Yes,2,270.2,112.0
4490,87,Female,Yes,One year,No,22,235.2,230.0
4491,32,Female,Yes,Month-to-Month,No,7,140.0,102.0
4492,27,Male,Yes,Month-to-Month,Yes,4,120.0,99.0
4493,61,Female,No,Two Year,Yes,16,177.7,159.0
4494,30,Male,Yes,Two Year,Yes,7,232.6,124.0
4495,60,Female,No,Month-to-Month,Yes,13,145.0,94.0
4496,81,Male,Yes,One year,Yes,2,212.6,93.0
4497,83,Female,Yes,Month-to-Month,No,12,140.0,122.0
4498,63,Male,Yes,Month-to-Month,No,2,117.4,70.0
4499,50,Female,No,One year,Yes,20,172.5,156.0
4500,45,Male,Yes,One year,Yes,8,192.4,94.0
4501,30,Male,Yes,Two Year,Yes,5,195.0,118.0
4502,87,Male,Yes,Month-to-Month,Yes,15,202.6,174.0
4503,70,Female,No,Two Year,Yes,5,182.5,59.0
4504,28,Female,No,Two Year,No,2,172.4,41.0
4505,45,Male,No,Two Year,Yes,11,115.0,98.0
4506,35,Male,No,Two Year,Yes,15,167.5,186.0
4507,37,Male,No,Month-to-Month,No,5,129.9,103.0
4508,50,Male,Yes,Month-to-Month,Yes,11,147.4,94.0
4509,34,Female,No,Two Year,Yes,4,139.9,95.0
4510,58,Male,No,One year,Yes,7,117.4,121.0
4511,42,Male,No,Month-to-Month,No,13,117.5,121.0
4512,63,Female,Yes,Month-to-Month,No,3,127.5,34.0
4513,78,Female,No,One year,Yes,8,107.5,88.0
4514,89,Female,Yes,Two Year,Yes,5,257.6,137.0
4515,18,Male,Yes,Month-to-Month,Yes,8,175.0,115.0
4516,89,Male,No,Two Year,Yes,9,185.0,82.0
4517,66,Male,No,Month-to-Month,No,17,132.5,200.0
4518,53,Male,Yes,Month-to-Month,No,4,95.0,82.0
4519,44,Female,No,Two Year,No,22,105.0,172.0
4520,66,Male,Yes,Month-to-Month,No,4,182.5,65.0
4521,85,Male,No,Two Year,Yes,29,147.5,219.0
4522,62,Female,No,Month-to-Month,Yes,10,215.0,106.0
4523,28,Male,Yes,Month-to-Month,No,8,215.0,95.0
4524,55,Female,No,Month-to-Month,No,7,129.9,108.0
4525,55,Male,No,Month-to-Month,Yes,10,147.5,127.0
4526,59,Male,Yes,Two Year,Yes,2,155.0,85.0
4527,28,Male,No,Two Year,Yes,16,205.0,153.0
4528,38,Male,No,Two Year,Yes,4,127.4,91.0
4530,34,Female,No,One year,No,4,149.9,94.0
4531,61,Male,No,One year,No,9,142.5,148.0
4532,71,Male,Yes,Month-to-Month,No,11,232.6,155.0
4533,89,Male,Yes,Month-to-Month,Yes,8,242.6,100.0
4534,74,Female,No,Two Year,Yes,15,112.5,101.0
4535,39,Female,Yes,Month-to-Month,No,18,172.5,174.0
4536,84,Male,No,Month-to-Month,Yes,22,145.0,153.0
4537,57,Male,No,Two Year,Yes,14,192.5,120.0
4538,64,Female,Yes,Month-to-Month,Yes,15,160.0,122.0
4539,43,Female,No,Two Year,No,9,137.5,92.0
4540,76,Male,No,Month-to-Month,Yes,20,92.5,172.0
4541,53,Female,Yes,Month-to-Month,Yes,5,257.7,97.0
4542,75,Male,Yes,Two Year,No,3,225.1,112.0
4543,30,Female,No,One year,No,22,197.6,225.0
4544,78,Male,No,One year,No,10,184.9,137.0
4545,22,Female,No,One year,Yes,7,150.0,76.0
4546,32,Female,No,Two Year,Yes,18,162.5,192.0
4547,78,Male,Yes,Month-to-Month,Yes,6,175.0,104.0
4548,56,Male,Yes,Month-to-Month,Yes,15,185.0,157.0
4549,79,Female,Yes,Month-to-Month,No,6,182.4,54.0
4550,68,Female,No,Two Year,No,11,149.9,126.0
4551,58,Female,Yes,Month-to-Month,No,11,197.5,127.0
4552,48,Female,Yes,Month-to-Month,Yes,3,157.5,47.0
4553,70,Female,Yes,Month-to-Month,Yes,3,102.5,33.0
4554,67,Male,No,One year,No,3,117.5,45.0
4555,24,Female,Yes,One year,No,6,187.7,94.0
4556,44,Female,No,Month-to-Month,Yes,13,127.5,145.0
4557,51,Female,Yes,Month-to-Month,Yes,18,130.0,182.0
4558,54,Female,No,Month-to-Month,Yes,3,152.5,42.0
4559,24,Male,No,One year,Yes,21,162.5,223.0
4560,39,Female,No,Month-to-Month,Yes,12,112.5,96.0
4561,75,Female,Yes,Month-to-Month,No,12,237.7,170.0
4562,70,Female,Yes,Month-to-Month,Yes,3,167.5,29.0
4563,36,Female,Yes,Two Year,Yes,7,232.6,97.0
4564,47,Female,No,Month-to-Month,No,4,180.0,61.0
4565,71,Male,Yes,Two Year,Yes,7,257.7,150.0
4566,51,Male,Yes,Month-to-Month,Yes,14,159.9,154.0
4567,85,Female,Yes,Month-to-Month,No,3,172.5,45.0
4568,79,Male,No,One year,No,14,169.9,122.0
4569,69,Female,Yes,Month-to-Month,No,6,195.0,99.0
4570,32,Male,Yes,One year,Yes,8,232.6,152.0
4571,32,Female,No,Month-to-Month,Yes,12,117.5,109.0
4572,65,Female,No,Two Year,No,5,162.5,94.0
4573,20,Male,No,One year,Yes,9,169.9,108.0
4574,70,Female,Yes,Two Year,Yes,32,255.1,298.0
4575,44,Male,Yes,Month-to-Month,Yes,8,137.5,85.0
4576,19,Female,Yes,Two Year,Yes,14,262.6,160.0
4577,21,Female,No,Month-to-Month,Yes,21,172.4,178.0
4578,74,Female,No,One year,Yes,4,197.5,61.0
4579,66,Female,No,One year,No,3,160.0,47.0
4580,31,Female,Yes,Month-to-Month,Yes,11,150.0,104.0
4581,18,Male,Yes,One year,Yes,8,177.7,115.0
4582,37,Male,No,One year,Yes,9,184.9,154.0
4583,35,Female,Yes,Month-to-Month,No,9,127.5,96.0
4585,61,Male,No,Two Year,No,23,140.0,183.0
4586,57,Female,No,Month-to-Month,No,13,115.0,134.0
4587,74,Male,No,Month-to-Month,Yes,3,80.0,36.0
4588,19,Male,No,Two Year,Yes,14,232.6,156.0
4589,53,Female,No,Two Year,No,6,185.0,75.0
4591,38,Male,Yes,Month-to-Month,No,4,202.6,129.0
4592,74,Male,No,One year,No,3,200.1,107.0
4593,66,Male,No,Two Year,Yes,8,145.0,63.0
4594,87,Female,No,Month-to-Month,No,4,105.0,61.0
4595,55,Female,No,Month-to-Month,Yes,7,182.5,76.0
4596,25,Female,No,One year,No,21,115.0,194.0
4597,20,Female,No,Two Year,No,3,145.0,39.0
4598,82,Female,No,Two Year,Yes,8,175.0,89.0
4599,89,Female,No,One year,Yes,3,159.9,41.0
4600,39,Male,No,Two Year,Yes,10,170.0,112.0
4601,48,Female,Yes,Month-to-Month,No,8,129.9,112.0
4602,24,Male,No,Two Year,No,12,80.0,112.0
4603,40,Female,No,Month-to-Month,No,11,160.0,101.0
4604,21,Male,No,One year,No,7,149.9,121.0
4605,59,Female,No,Month-to-Month,Yes,2,182.5,42.0
4606,58,Female,No,Month-to-Month,Yes,2,187.5,51.0
4607,33,Male,Yes,Month-to-Month,Yes,25,92.5,224.0
4608,35,Female,Yes,Month-to-Month,Yes,5,139.9,95.0
4609,24,Female,Yes,Month-to-Month,Yes,9,145.0,139.0
4610,79,Male,Yes,Month-to-Month,No,7,185.0,95.0
4611,40,Female,Yes,Month-to-Month,Yes,17,160.0,145.0
4612,75,Male,No,One year,Yes,2,160.0,33.0
4613,73,Male,No,One year,No,12,160.0,114.0
4614,21,Female,Yes,Month-to-Month,Yes,3,215.0,70.0
4615,75,Male,Yes,Month-to-Month,Yes,12,240.1,131.0
4616,68,Male,Yes,Month-to-Month,No,2,150.0,59.0
4617,59,Male,No,One year,No,2,172.4,40.0
4618,52,Female,Yes,Month-to-Month,Yes,10,150.0,90.0
4619,20,Male,No,Two Year,Yes,12,127.4,149.0
4620,86,Male,No,Two Year,No,10,195.0,97.0
4621,27,Female,No,Two Year,Yes,3,125.0,27.0
4622,67,Male,No,One year,Yes,3,137.5,74.0
4623,37,Female,Yes,Two Year,No,14,222.6,176.0
4624,41,Female,No,Two Year,Yes,10,80.0,82.0
4625,29,Female,No,Month-to-Month,Yes,18,192.5,163.0
4626,31,Male,Yes,One year,Yes,11,220.1,182.0
4627,57,Male,Yes,Month-to-Month,Yes,2,125.0,27.0
4628,55,Male,Yes,Month-to-Month,Yes,9,200.0,166.0
4629,36,Female,No,One year,No,15,179.9,149.0
4630,77,Male,No,Two Year,Yes,7,117.5,103.0
4631,85,Male,No,Month-to-Month,Yes,20,125.0,138.0
4632,40,Male,Yes,Two Year,Yes,13,130.0,122.0
4633,54,Female,Yes,Month-to-Month,Yes,6,159.9,73.0
4634,77,Male,Yes,One year,Yes,13,187.6,158.0
4635,34,Female,Yes,Month-to-Month,No,4,220.1,78.0
4636,21,Female,Yes,One year,Yes,12,207.5,167.0
4637,32,Female,No,Month-to-Month,Yes,11,165.0,118.0
4638,80,Female,No,Two Year,Yes,13,105.0,98.0
4639,49,Male,Yes,Month-to-Month,Yes,3,195.0,64.0
4640,33,Male,Yes,Month-to-Month,Yes,2,117.5,46.0
4641,65,Female,No,Two Year,No,8,152.5,77.0
4642,45,Female,Yes,Two Year,Yes,12,230.1,137.0
4643,25,Female,Yes,Month-to-Month,Yes,21,125.0,210.0
4644,29,Male,Yes,Month-to-Month,Yes,8,255.1,157.0
4645,25,Male,No,One year,Yes,13,159.9,145.0
4646,80,Male,Yes,Two Year,No,16,245.1,195.0
4647,76,Male,No,Month-to-Month,Yes,10,147.4,87.0
4648,40,Female,Yes,Month-to-Month,Yes,7,207.6,95.0
4649,36,Female,No,Two Year,No,8,190.2,109.0
4650,87,Male,Yes,Month-to-Month,No,3,172.5,52.0
4651,21,Female,Yes,Month-to-Month,Yes,9,159.9,125.0
4652,29,Male,No,Month-to-Month,No,10,80.0,89.0
4653,77,Male,Yes,One year,No,5,220.1,88.0
4654,62,Female,Yes,One year,Yes,2,242.6,64.0
4655,38,Male,Yes,Month-to-Month,No,9,179.9,108.0
4656,41,Male,Yes,One year,Yes,9,207.6,104.0
4657,23,Female,Yes,Month-to-Month,No,7,182.5,83.0
4658,76,Male,Yes,Month-to-Month,No,14,192.5,124.0
4659,69,Male,No,Two Year,No,4,140.0,80.0
4661,47,Male,No,Month-to-Month,Yes,9,117.4,126.0
4662,86,Male,No,One year,Yes,5,127.5,87.0
4663,80,Male,No,Two Year,No,11,162.5,126.0
4664,51,Male,No,Two Year,Yes,2,130.0,59.0
4665,25,Male,Yes,Month-to-Month,Yes,6,172.5,88.0
4666,84,Female,Yes,Month-to-Month,No,5,130.0,53.0
4667,47,Female,Yes,Month-to-Month,No,19,179.9,170.0
4668,33,Female,No,One year,Yes,14,200.1,173.0
4669,47,Female,Yes,Month-to-Month,No,11,197.6,124.0
4670,75,Female,No,Month-to-Month,No,6,160.0,92.0
4671,55,Male,No,Month-to-Month,Yes,3,105.0,42.0
4672,36,Male,No,One year,No,11,167.5,99.0
4673,46,Female,No,One year,No,4,172.5,84.0
4674,57,Male,Yes,One year,Yes,8,235.1,141.0
4675,75,Male,No,Month-to-Month,No,14,115.0,103.0
4676,50,Female,Yes,One year,Yes,8,270.2,169.0
4677,34,Male,Yes,One year,No,5,235.2,116.0
4678,38,Female,Yes,Two Year,Yes,5,252.6,99.0
4679,64,Male,No,Month-to-Month,No,10,160.0,99.0
4680,21,Female,Yes,Month-to-Month,No,7,242.6,139.0
4681,31,Male,No,Month-to-Month,Yes,2,105.0,42.0
4682,26,Female,Yes,Month-to-Month,No,8,230.1,129.0
4683,27,Male,No,Two Year,Yes,2,80.0,31.0
4684,54,Female,Yes,Two Year,No,10,267.7,143.0
4685,77,Female,Yes,One year,No,5,230.1,78.0
4686,73,Male,No,One year,Yes,12,152.5,149.0
4687,77,Female,No,Two Year,No,12,150.0,95.0
4688,77,Male,No,Two Year,No,14,160.0,122.0
4689,63,Male,No,One year,No,3,165.0,104.0
4690,35,Male,No,Two Year,No,6,135.0,71.0
4691,63,Female,Yes,Month-to-Month,No,9,190.1,139.0
4692,55,Male,No,Month-to-Month,Yes,15,165.0,132.0
4693,41,Male,No,Month-to-Month,Yes,3,95.0,69.0
4694,77,Male,No,Two Year,Yes,8,125.0,70.0
4695,78,Female,No,Month-to-Month,Yes,17,125.0,111.0
4696,39,Female,Yes,Month-to-Month,Yes,4,242.6,79.0
4697,51,Female,Yes,Month-to-Month,Yes,4,159.9,55.0
4699,30,Female,Yes,One year,Yes,16,222.6,168.0
4700,32,Male,Yes,Month-to-Month,Yes,5,277.7,115.0
4701,74,Female,No,One year,Yes,12,150.0,96.0
4702,29,Female,Yes,Month-to-Month,Yes,12,225.1,184.0
4703,77,Male,Yes,One year,Yes,8,235.1,135.0
4704,72,Male,Yes,Month-to-Month,Yes,13,217.5,137.0
4705,32,Male,Yes,Month-to-Month,Yes,8,185.0,97.0
4706,37,Male,No,One year,Yes,4,167.5,66.0
4707,24,Male,No,Month-to-Month,Yes,19,167.5,166.0
4708,31,Male,No,Month-to-Month,Yes,10,105.0,123.0
4709,86,Male,No,One year,Yes,2,187.5,83.0
4710,70,Female,Yes,Month-to-Month,Yes,10,172.5,124.0
4711,65,Female,Yes,Month-to-Month,Yes,6,205.0,63.0
4712,67,Male,No,Month-to-Month,No,19,162.5,153.0
4713,58,Female,No,One year,No,8,155.0,122.0
4714,71,Female,No,Month-to-Month,No,15,182.4,123.0
4715,57,Male,No,Month-to-Month,Yes,9,115.0,84.0
4716,82,Female,Yes,Month-to-Month,Yes,12,195.0,107.0
4717,52,Male,No,One year,No,6,172.5,71.0
4718,34,Female,Yes,Month-to-Month,No,2,182.5,53.0
4719,56,Female,Yes,Two Year,No,2,242.6,65.0
4720,66,Female,No,One year,Yes,5,217.5,70.0
4721,85,Male,No,Month-to-Month,Yes,16,207.5,140.0
4722,53,Female,No,One year,No,3,125.0,29.0
4723,64,Female,Yes,Month-to-Month,No,9,172.5,120.0
4724,38,Male,Yes,Month-to-Month,Yes,6,152.5,109.0
4725,83,Female,No,Month-to-Month,Yes,13,132.5,138.0
4726,35,Female,No,Month-to-Month,Yes,12,197.5,124.0
4727,45,Male,Yes,Month-to-Month,No,4,105.0,57.0
4728,44,Male,No,Two Year,Yes,6,182.4,73.0
4729,28,Male,Yes,Month-to-Month,Yes,5,240.1,95.0
4730,23,Female,No,One year,Yes,15,152.4,167.0
4731,55,Female,Yes,Month-to-Month,Yes,10,160.0,83.0
4732,20,Male,Yes,Two Year,No,10,242.6,178.0
4733,28,Female,Yes,Month-to-Month,No,8,182.5,81.0
4734,46,Male,No,Two Year,Yes,5,112.5,66.0
4735,52,Male,Yes,Month-to-Month,No,17,175.0,166.0
4736,48,Female,Yes,Month-to-Month,Yes,7,222.6,134.0
4737,26,Female,No,One year,Yes,10,92.5,86.0
4738,52,Female,Yes,Month-to-Month,Yes,5,180.0,52.0
4739,54,Male,No,Two Year,Yes,3,130.0,73.0
4740,55,Female,Yes,Month-to-Month,Yes,10,257.6,162.0
4741,68,Female,Yes,Month-to-Month,No,10,190.1,139.0
4742,44,Male,No,Two Year,No,2,120.0,71.0
4743,40,Male,No,Month-to-Month,No,12,125.0,120.0
4744,87,Male,No,Two Year,Yes,18,180.0,140.0
4745,56,Male,Yes,Month-to-Month,No,14,230.1,159.0
4746,58,Female,No,Month-to-Month,No,24,130.0,219.0
4747,60,Female,No,Two Year,Yes,4,137.5,38.0
4748,29,Male,No,Month-to-Month,No,8,135.0,76.0
4749,45,Male,No,Month-to-Month,Yes,10,107.5,119.0
4750,51,Female,Yes,Month-to-Month,Yes,14,220.2,145.0
4751,83,Female,Yes,Month-to-Month,Yes,6,145.0,36.0
4752,24,Male,No,Month-to-Month,No,12,152.4,156.0
4753,44,Male,Yes,Two Year,Yes,7,207.6,91.0
4754,47,Male,Yes,Two Year,No,17,182.4,190.0
4755,25,Male,Yes,Month-to-Month,Yes,15,207.5,188.0
4756,47,Female,No,Month-to-Month,No,11,115.0,126.0
4757,77,Male,Yes,Month-to-Month,Yes,5,217.5,79.0
4758,76,Male,No,Month-to-Month,Yes,17,207.6,159.0
4759,37,Male,Yes,Month-to-Month,No,3,207.6,67.0
4760,40,Male,No,Month-to-Month,No,10,150.0,103.0
4761,22,Male,Yes,Month-to-Month,Yes,6,185.0,88.0
4762,55,Male,No,Two Year,No,6,192.5,72.0
4763,55,Female,Yes,Month-to-Month,Yes,11,185.0,102.0
4764,80,Male,No,Two Year,No,4,135.0,32.0
4765,43,Female,No,Two Year,Yes,9,152.5,111.0
4767,68,Male,Yes,Month-to-Month,Yes,2,252.6,81.0
4768,54,Female,Yes,One year,Yes,11,187.6,154.0
4769,22,Male,No,Month-to-Month,Yes,6,95.0,69.0
4770,77,Male,No,Month-to-Month,No,8,92.5,57.0
4771,58,Female,No,Two Year,Yes,12,130.0,116.0
4772,31,Male,Yes,Month-to-Month,Yes,7,150.0,92.0
4773,18,Male,Yes,Month-to-Month,Yes,4,204.9,74.0
4774,89,Female,No,One year,No,4,140.0,69.0
4775,47,Male,Yes,Month-to-Month,No,3,149.9,86.0
4776,70,Female,Yes,Month-to-Month,No,26,242.6,256.0
4777,51,Female,Yes,Month-to-Month,Yes,10,195.0,101.0
4778,47,Female,No,Two Year,Yes,18,150.0,157.0
4779,44,Female,No,Two Year,No,2,127.5,30.0
4780,56,Female,Yes,Month-to-Month,Yes,7,200.1,121.0
4781,41,Female,Yes,Month-to-Month,Yes,11,159.9,132.0
4782,44,Female,No,Two Year,Yes,13,180.0,117.0
4783,70,Male,No,Two Year,No,7,205.0,99.0
4784,80,Female,Yes,Two Year,No,3,245.1,99.0
4785,25,Female,No,Two Year,No,13,175.0,158.0
4786,46,Female,Yes,Two Year,Yes,21,270.2,255.0
4787,58,Female,Yes,Two Year,No,27,245.1,270.0
4788,61,Female,Yes,Month-to-Month,Yes,7,152.5,104.0
4789,65,Female,No,Month-to-Month,Yes,19,152.5,188.0
4790,43,Female,No,Two Year,Yes,5,162.5,90.0
4791,56,Female,No,Month-to-Month,Yes,4,195.0,101.0
4793,68,Male,No,Two Year,No,22,162.5,218.0
4794,33,Male,No,One year,No,3,162.5,88.0
4795,24,Male,Yes,One year,No,7,215.2,148.0
4796,83,Female,No,Month-to-Month,No,7,127.5,53.0
4797,57,Female,No,One year,Yes,17,165.0,191.0
4798,24,Male,No,Two Year,Yes,8,130.0,125.0
4799,68,Male,No,Two Year,Yes,16,202.4,135.0
4800,84,Male,No,Month-to-Month,No,6,137.5,58.0
4801,48,Female,Yes,One year,No,9,172.5,123.0
4802,55,Female,Yes,One year,Yes,21,235.1,241.0
4803,68,Male,No,Month-to-Month,Yes,14,117.5,140.0
4804,70,Female,No,Two Year,Yes,13,207.5,131.0
4805,68,Male,Yes,Month-to-Month,No,14,215.0,133.0
4806,81,Male,No,Month-to-Month,No,19,195.0,170.0
4807,64,Female,Yes,One year,Yes,5,220.1,81.0
4808,73,Female,Yes,Month-to-Month,Yes,6,140.0,87.0
4809,27,Male,No,Two Year,No,5,159.9,76.0
4810,57,Male,Yes,Month-to-Month,Yes,4,105.0,66.0
4811,68,Female,Yes,Two Year,Yes,6,230.1,82.0
4812,22,Female,Yes,Month-to-Month,Yes,1,200.1,104.0
4813,34,Female,No,Month-to-Month,Yes,30,115.0,253.0
4814,78,Male,No,Month-to-Month,Yes,8,147.5,68.0
4815,75,Male,No,Two Year,Yes,13,175.0,169.0
4816,68,Female,Yes,Month-to-Month,No,14,175.0,155.0
4817,79,Female,Yes,Month-to-Month,Yes,8,155.0,109.0
4818,51,Male,No,Month-to-Month,Yes,26,167.5,254.0
4819,58,Male,Yes,Two Year,Yes,4,197.5,102.0
4820,58,Female,No,Month-to-Month,Yes,30,195.0,235.0
4821,89,Male,Yes,Two Year,No,1,185.0,72.0
4822,25,Female,Yes,Two Year,No,1,220.1,62.0
4823,59,Female,No,Two Year,No,4,150.0,39.0
4824,31,Male,No,Month-to-Month,No,12,180.0,108.0
4825,20,Male,No,Month-to-Month,Yes,5,169.9,74.0
4826,21,Male,Yes,Month-to-Month,Yes,2,230.1,68.0
4827,68,Female,Yes,Two Year,Yes,6,195.0,109.0
4828,41,Male,No,Month-to-Month,Yes,24,152.5,203.0
4829,37,Female,No,One year,No,6,150.0,67.0
4830,72,Male,No,Two Year,No,6,160.0,55.0
4831,53,Male,No,Month-to-Month,Yes,18,160.0,141.0
4832,45,Female,No,One year,Yes,9,180.0,82.0
4833,69,Male,Yes,Month-to-Month,No,15,175.1,139.0
4834,63,Female,No,One year,Yes,3,127.5,59.0
4835,19,Female,Yes,Month-to-Month,Yes,13,207.5,142.0
4836,50,Male,Yes,Two Year,Yes,8,220.1,105.0
4837,87,Male,Yes,One year,Yes,7,207.5,128.0
4838,75,Female,No,Month-to-Month,No,2,130.0,41.0
4839,46,Male,Yes,One year,Yes,9,220.1,114.0
4840,87,Male,No,Month-to-Month,Yes,9,180.0,78.0
4841,43,Male,Yes,Month-to-Month,No,9,137.5,94.0
4842,49,Female,Yes,Two Year,No,5,212.6,131.0
4843,80,Female,Yes,Month-to-Month,Yes,17,125.0,148.0
4844,28,Female,Yes,Month-to-Month,No,3,152.5,81.0
4845,73,Male,No,Month-to-Month,No,3,117.5,39.0
4846,36,Male,No,Month-to-Month,No,4,147.4,55.0
4847,63,Male,No,One year,Yes,10,92.5,68.0
4848,44,Female,No,Two Year,Yes,5,127.5,82.0
4849,53,Male,No,Month-to-Month,No,4,120.0,88.0
4850,83,Female,Yes,Two Year,No,2,240.1,58.0
4851,63,Female,Yes,Two Year,Yes,5,210.1,88.0
4852,29,Female,Yes,Month-to-Month,No,6,140.0,102.0
4853,39,Female,Yes,Month-to-Month,No,7,242.6,101.0
4854,61,Female,No,Two Year,Yes,5,162.5,104.0
4855,34,Male,Yes,Month-to-Month,Yes,15,227.5,154.0
4856,48,Male,Yes,Month-to-Month,Yes,5,192.5,68.0
4857,21,Female,Yes,One year,Yes,5,207.5,89.0
4858,49,Male,Yes,One year,No,10,149.9,134.0
4859,69,Female,Yes,Month-to-Month,No,12,115.0,121.0
4860,69,Male,No,Two Year,Yes,6,117.4,100.0
4861,77,Male,No,One year,No,10,137.4,82.0
4862,63,Male,No,Two Year,No,8,105.0,103.0
4863,85,Female,No,Two Year,No,13,150.0,98.0
4864,32,Female,No,Two Year,Yes,13,195.0,133.0
4865,88,Male,Yes,Two Year,No,6,187.6,115.0
4866,28,Male,No,Month-to-Month,Yes,2,105.0,38.0
4867,64,Male,No,Two Year,Yes,3,127.5,47.0
4868,86,Female,No,One year,Yes,2,142.5,61.0
4869,49,Male,No,Month-to-Month,Yes,15,150.0,143.0
4870,45,Male,Yes,Month-to-Month,No,7,105.0,95.0
4871,34,Female,Yes,Month-to-Month,Yes,15,172.5,172.0
4872,36,Female,No,Two Year,No,9,162.5,83.0
4873,73,Male,No,One year,No,18,162.4,181.0
4874,87,Female,Yes,Month-to-Month,Yes,1,232.6,43.0
4876,78,Male,Yes,Month-to-Month,Yes,1,137.5,30.0
4877,50,Male,No,Two Year,No,1,152.5,79.0
4878,77,Male,No,Two Year,No,6,107.5,60.0
4879,31,Male,No,Month-to-Month,No,3,147.5,58.0
4880,47,Female,Yes,Month-to-Month,No,6,197.5,112.0
4881,87,Male,Yes,Month-to-Month,Yes,2,185.0,73.0
4882,85,Male,No,Two Year,Yes,7,182.5,73.0
4883,49,Male,Yes,Month-to-Month,No,3,182.4,52.0
4884,51,Male,No,One year,No,18,197.5,164.0
4885,35,Female,No,One year,Yes,8,145.0,72.0
4886,35,Female,Yes,One year,No,7,252.6,101.0
4887,27,Female,Yes,Month-to-Month,No,23,210.1,231.0
4888,43,Female,No,One year,No,7,235.2,106.0
4889,87,Male,Yes,Month-to-Month,Yes,2,152.5,71.0
4890,70,Male,Yes,Month-to-Month,Yes,6,197.5,130.0
4891,78,Male,Yes,Month-to-Month,Yes,6,125.0,51.0
4892,32,Female,Yes,Month-to-Month,No,8,182.4,136.0
4893,55,Female,No,Month-to-Month,Yes,4,105.0,64.0
4894,64,Male,No,Month-to-Month,No,7,147.5,68.0
4895,57,Female,No,Two Year,Yes,7,142.5,115.0
4896,23,Female,No,Month-to-Month,No,11,182.5,110.0
4897,44,Female,No,Month-to-Month,Yes,18,115.0,166.0
